"","HINS1","HINS2","HICOV","SCHL","ENG","English","Education","Work_Insurance","Private_Insurance","Health_Insurance_Covered"
"17927",0,0,0,16,2,"Well","Regular high school diploma","No","No","No"
"17928",1,0,1,21,2,"Well","Bachelor's degree","Yes","No","Yes"
"17929",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"17930",1,0,1,2,1,"Very Well","Nursery School or Pre-school","Yes","No","Yes"
"17931",0,0,0,17,1,"Very Well","GED or alternative credential","No","No","No"
"17932",0,0,0,16,2,"Well","Regular high school diploma","No","No","No"
"17933",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"17934",0,1,1,22,1,"Very Well","Master's degree","No","Yes","Yes"
"17935",0,1,1,22,1,"Very Well","Master's degree","No","Yes","Yes"
"17936",1,0,1,13,1,"Very Well","Grade 10","Yes","No","Yes"
"17937",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
"17938",1,0,1,18,2,"Well","Some college, but less than 1 year","Yes","No","Yes"
"17939",1,0,1,9,1,"Very Well","Grade 6","Yes","No","Yes"
"17940",1,0,1,6,1,"Very Well","Grade 3","Yes","No","Yes"
"17941",0,0,1,15,4,"Not at all","12th Grade - no diploma","No","No","Yes"
"17942",1,0,1,12,1,"Very Well","Grade 9","Yes","No","Yes"
"17943",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"17944",0,1,1,22,1,"Very Well","Master's degree","No","Yes","Yes"
"17945",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"17946",1,0,1,23,1,"Very Well","Professional degree beyond a bachelor's degree","Yes","No","Yes"
"17947",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
"17948",1,0,1,11,1,"Very Well","Grade 8","Yes","No","Yes"
"17949",1,0,1,21,2,"Well","Bachelor's degree","Yes","No","Yes"
"17950",0,1,1,21,1,"Very Well","Bachelor's degree","No","Yes","Yes"
"17951",1,0,1,23,1,"Very Well","Professional degree beyond a bachelor's degree","Yes","No","Yes"
"17952",0,0,0,16,1,"Very Well","Regular high school diploma","No","No","No"
"17953",0,1,1,16,1,"Very Well","Regular high school diploma","No","Yes","Yes"
"17954",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"17955",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"17956",1,0,1,21,2,"Well","Bachelor's degree","Yes","No","Yes"
"17957",1,0,1,4,1,"Very Well","Grade 1","Yes","No","Yes"
"17958",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"17959",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"17960",1,0,1,3,2,"Well","Kindergarten","Yes","No","Yes"
"17961",0,0,0,7,2,"Well","Grade 4","No","No","No"
"17962",0,0,1,12,1,"Very Well","Grade 9","No","No","Yes"
"17963",0,0,1,11,1,"Very Well","Grade 8","No","No","Yes"
"17964",0,0,1,6,1,"Very Well","Grade 3","No","No","Yes"
"17965",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"17966",0,0,1,15,1,"Very Well","12th Grade - no diploma","No","No","Yes"
"17967",0,1,1,20,3,"Not Well","Associate's degree","No","Yes","Yes"
"17968",0,1,1,11,1,"Very Well","Grade 8","No","Yes","Yes"
"17969",0,1,1,9,1,"Very Well","Grade 6","No","Yes","Yes"
"17970",0,1,1,3,1,"Very Well","Kindergarten","No","Yes","Yes"
"17971",1,0,1,17,1,"Very Well","GED or alternative credential","Yes","No","Yes"
"17972",1,0,1,24,2,"Well","Doctorate degree","Yes","No","Yes"
"17973",1,0,1,21,4,"Not at all","Bachelor's degree","Yes","No","Yes"
"17974",1,0,1,15,2,"Well","12th Grade - no diploma","Yes","No","Yes"
"17975",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"17976",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
"17977",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"17978",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"17979",1,0,1,18,2,"Well","Some college, but less than 1 year","Yes","No","Yes"
"17980",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
"17981",1,0,1,18,1,"Very Well","Some college, but less than 1 year","Yes","No","Yes"
"17982",0,0,0,21,3,"Not Well","Bachelor's degree","No","No","No"
"17983",0,0,0,16,2,"Well","Regular high school diploma","No","No","No"
"17984",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"17985",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"17986",1,0,1,16,1,"Very Well","Regular high school diploma","Yes","No","Yes"
"17987",1,0,1,12,1,"Very Well","Grade 9","Yes","No","Yes"
"17988",0,0,1,16,1,"Very Well","Regular high school diploma","No","No","Yes"
"17989",0,0,1,1,4,"Not at all","No Schooling Completed","No","No","Yes"
"17990",0,0,0,18,1,"Very Well","Some college, but less than 1 year","No","No","No"
"17991",1,0,1,21,2,"Well","Bachelor's degree","Yes","No","Yes"
"17992",1,0,1,16,1,"Very Well","Regular high school diploma","Yes","No","Yes"
"17993",1,0,1,4,2,"Well","Grade 1","Yes","No","Yes"
"17994",1,0,1,16,2,"Well","Regular high school diploma","Yes","No","Yes"
"17995",0,0,0,14,1,"Very Well","Grade 11","No","No","No"
"17996",0,0,0,1,1,"Very Well","No Schooling Completed","No","No","No"
"17997",0,0,1,13,1,"Very Well","Grade 10","No","No","Yes"
"17998",0,0,1,3,1,"Very Well","Kindergarten","No","No","Yes"
"17999",1,0,1,21,2,"Well","Bachelor's degree","Yes","No","Yes"
"18000",1,0,1,19,2,"Well","1 or more years of college credit, no degree","Yes","No","Yes"
"18001",0,1,1,13,1,"Very Well","Grade 10","No","Yes","Yes"
"18002",0,1,1,9,1,"Very Well","Grade 6","No","Yes","Yes"
"18003",1,0,1,16,2,"Well","Regular high school diploma","Yes","No","Yes"
"18004",1,0,1,12,2,"Well","Grade 9","Yes","No","Yes"
"18005",0,0,1,22,1,"Very Well","Master's degree","No","No","Yes"
"18006",0,1,1,19,4,"Not at all","1 or more years of college credit, no degree","No","Yes","Yes"
"18007",0,0,0,21,1,"Very Well","Bachelor's degree","No","No","No"
"18008",0,0,1,16,4,"Not at all","Regular high school diploma","No","No","Yes"
"18009",0,0,1,16,4,"Not at all","Regular high school diploma","No","No","Yes"
"18010",1,0,1,19,3,"Not Well","1 or more years of college credit, no degree","Yes","No","Yes"
"18011",1,0,1,19,3,"Not Well","1 or more years of college credit, no degree","Yes","No","Yes"
"18012",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
"18013",0,0,1,19,2,"Well","1 or more years of college credit, no degree","No","No","Yes"
"18014",0,0,1,19,2,"Well","1 or more years of college credit, no degree","No","No","Yes"
"18015",0,0,0,19,1,"Very Well","1 or more years of college credit, no degree","No","No","No"
"18016",0,0,1,16,4,"Not at all","Regular high school diploma","No","No","Yes"
"18017",1,0,1,16,1,"Very Well","Regular high school diploma","Yes","No","Yes"
"18018",0,0,0,17,3,"Not Well","GED or alternative credential","No","No","No"
"18019",1,0,1,13,1,"Very Well","Grade 10","Yes","No","Yes"
"18020",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"18021",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
"18022",0,1,1,22,2,"Well","Master's degree","No","Yes","Yes"
"18023",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"18024",1,0,1,2,1,"Very Well","Nursery School or Pre-school","Yes","No","Yes"
"18025",0,0,1,22,1,"Very Well","Master's degree","No","No","Yes"
"18026",0,0,1,21,1,"Very Well","Bachelor's degree","No","No","Yes"
"18027",0,0,1,16,1,"Very Well","Regular high school diploma","No","No","Yes"
"18028",0,0,1,16,1,"Very Well","Regular high school diploma","No","No","Yes"
"18029",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
"18030",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
"18031",1,0,1,16,1,"Very Well","Regular high school diploma","Yes","No","Yes"
"18032",1,0,1,4,1,"Very Well","Grade 1","Yes","No","Yes"
"18033",1,0,1,1,1,"Very Well","No Schooling Completed","Yes","No","Yes"
"18034",0,1,1,16,4,"Not at all","Regular high school diploma","No","Yes","Yes"
"18035",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"18036",1,0,1,18,1,"Very Well","Some college, but less than 1 year","Yes","No","Yes"
"18037",1,0,1,18,1,"Very Well","Some college, but less than 1 year","Yes","No","Yes"
"18038",1,0,1,14,1,"Very Well","Grade 11","Yes","No","Yes"
"18039",0,0,1,19,3,"Not Well","1 or more years of college credit, no degree","No","No","Yes"
"18040",0,0,1,21,1,"Very Well","Bachelor's degree","No","No","Yes"
"18041",0,0,1,12,1,"Very Well","Grade 9","No","No","Yes"
"18042",0,0,1,10,1,"Very Well","Grade 7","No","No","Yes"
"18043",0,0,1,7,1,"Very Well","Grade 4","No","No","Yes"
