"","HINS1","HINS2","HICOV","SCHL","ENG","English","Education","Work_Insurance","Private_Insurance","Health_Insurance_Covered"
"54",1,0,1,12,3,"Not Well","Grade 9","Yes","No","Yes"
"55",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"56",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"57",1,0,1,1,1,"Very Well","No Schooling Completed","Yes","No","Yes"
"58",1,0,1,19,3,"Not Well","1 or more years of college credit, no degree","Yes","No","Yes"
"59",0,1,1,24,1,"Very Well","Doctorate degree","No","Yes","Yes"
"60",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"61",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
"62",0,1,1,22,1,"Very Well","Master's degree","No","Yes","Yes"
"63",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"64",1,0,1,20,2,"Well","Associate's degree","Yes","No","Yes"
"65",1,0,1,5,1,"Very Well","Grade 2","Yes","No","Yes"
"66",1,0,1,2,1,"Very Well","Nursery School or Pre-school","Yes","No","Yes"
"67",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"68",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"69",1,0,1,5,1,"Very Well","Grade 2","Yes","No","Yes"
"70",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"71",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"72",1,0,1,9,1,"Very Well","Grade 6","Yes","No","Yes"
"73",1,0,1,10,1,"Very Well","Grade 7","Yes","No","Yes"
"74",0,1,1,1,1,"Very Well","No Schooling Completed","No","Yes","Yes"
"75",1,1,1,13,2,"Well","Grade 10","Yes","Yes","Yes"
"76",0,1,1,15,2,"Well","12th Grade - no diploma","No","Yes","Yes"
"77",0,0,1,15,2,"Well","12th Grade - no diploma","No","No","Yes"
"78",0,1,1,16,1,"Very Well","Regular high school diploma","No","Yes","Yes"
"79",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
"80",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"81",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"82",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
"83",1,0,1,20,1,"Very Well","Associate's degree","Yes","No","Yes"
"84",1,0,1,3,1,"Very Well","Kindergarten","Yes","No","Yes"
"85",0,0,0,21,1,"Very Well","Bachelor's degree","No","No","No"
"86",1,0,1,22,2,"Well","Master's degree","Yes","No","Yes"
"87",0,0,0,21,1,"Very Well","Bachelor's degree","No","No","No"
"88",0,0,1,19,3,"Not Well","1 or more years of college credit, no degree","No","No","Yes"
"89",0,0,0,10,2,"Well","Grade 7","No","No","No"
"90",0,1,1,14,1,"Very Well","Grade 11","No","Yes","Yes"
"91",0,1,1,14,1,"Very Well","Grade 11","No","Yes","Yes"
"92",0,1,1,13,1,"Very Well","Grade 10","No","Yes","Yes"
"93",0,0,0,6,4,"Not at all","Grade 3","No","No","No"
"94",0,1,1,16,1,"Very Well","Regular high school diploma","No","Yes","Yes"
"95",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"96",0,0,1,16,2,"Well","Regular high school diploma","No","No","Yes"
"97",0,0,1,16,3,"Not Well","Regular high school diploma","No","No","Yes"
"98",0,0,1,3,1,"Very Well","Kindergarten","No","No","Yes"
"99",0,0,0,16,1,"Very Well","Regular high school diploma","No","No","No"
"100",0,0,0,14,2,"Well","Grade 11","No","No","No"
"101",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"102",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"103",0,1,1,18,3,"Not Well","Some college, but less than 1 year","No","Yes","Yes"
"104",0,0,1,2,2,"Well","Nursery School or Pre-school","No","No","Yes"
"105",0,1,1,16,4,"Not at all","Regular high school diploma","No","Yes","Yes"
"106",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"107",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"108",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"109",1,0,1,23,1,"Very Well","Professional degree beyond a bachelor's degree","Yes","No","Yes"
"110",0,1,1,18,1,"Very Well","Some college, but less than 1 year","No","Yes","Yes"
"111",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"112",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"113",1,0,1,20,1,"Very Well","Associate's degree","Yes","No","Yes"
"114",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"115",0,0,1,20,1,"Very Well","Associate's degree","No","No","Yes"
"116",1,1,1,23,2,"Well","Professional degree beyond a bachelor's degree","Yes","Yes","Yes"
"117",1,1,1,23,2,"Well","Professional degree beyond a bachelor's degree","Yes","Yes","Yes"
"118",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"119",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"120",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"121",0,0,1,21,1,"Very Well","Bachelor's degree","No","No","Yes"
"122",0,0,1,21,1,"Very Well","Bachelor's degree","No","No","Yes"
"123",0,0,1,20,1,"Very Well","Associate's degree","No","No","Yes"
"124",0,0,1,20,1,"Very Well","Associate's degree","No","No","Yes"
"125",0,0,1,12,1,"Very Well","Grade 9","No","No","Yes"
"126",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
"127",0,1,1,22,1,"Very Well","Master's degree","No","Yes","Yes"
"128",1,0,1,22,2,"Well","Master's degree","Yes","No","Yes"
"129",1,0,1,24,2,"Well","Doctorate degree","Yes","No","Yes"
"130",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"131",0,1,1,21,1,"Very Well","Bachelor's degree","No","Yes","Yes"
"132",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"133",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"134",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"135",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"136",1,0,1,19,2,"Well","1 or more years of college credit, no degree","Yes","No","Yes"
"137",0,0,0,14,2,"Well","Grade 11","No","No","No"
"138",0,0,0,19,2,"Well","1 or more years of college credit, no degree","No","No","No"
"139",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"140",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
"141",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"142",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"143",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"144",1,0,1,20,1,"Very Well","Associate's degree","Yes","No","Yes"
"145",0,0,0,19,2,"Well","1 or more years of college credit, no degree","No","No","No"
"146",1,0,1,12,2,"Well","Grade 9","Yes","No","Yes"
"147",1,0,1,12,1,"Very Well","Grade 9","Yes","No","Yes"
"148",0,0,0,21,1,"Very Well","Bachelor's degree","No","No","No"
"149",0,1,1,22,2,"Well","Master's degree","No","Yes","Yes"
"150",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"151",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"152",1,0,1,18,1,"Very Well","Some college, but less than 1 year","Yes","No","Yes"
"153",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"154",1,0,1,23,1,"Very Well","Professional degree beyond a bachelor's degree","Yes","No","Yes"
"155",1,0,1,22,2,"Well","Master's degree","Yes","No","Yes"
"156",0,0,0,16,2,"Well","Regular high school diploma","No","No","No"
"157",0,0,0,18,1,"Very Well","Some college, but less than 1 year","No","No","No"
"158",0,0,0,19,2,"Well","1 or more years of college credit, no degree","No","No","No"
"159",0,1,1,1,1,"Very Well","No Schooling Completed","No","Yes","Yes"
"160",1,0,1,13,1,"Very Well","Grade 10","Yes","No","Yes"
"161",1,0,1,21,2,"Well","Bachelor's degree","Yes","No","Yes"
"162",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"163",0,0,1,13,3,"Not Well","Grade 10","No","No","Yes"
"164",0,1,1,21,1,"Very Well","Bachelor's degree","No","Yes","Yes"
"165",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"166",1,0,1,18,1,"Very Well","Some college, but less than 1 year","Yes","No","Yes"
"167",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"168",0,1,1,22,1,"Very Well","Master's degree","No","Yes","Yes"
"169",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"170",0,1,1,21,1,"Very Well","Bachelor's degree","No","Yes","Yes"
"171",0,0,0,21,1,"Very Well","Bachelor's degree","No","No","No"
"172",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
"173",0,0,0,21,3,"Not Well","Bachelor's degree","No","No","No"
"174",0,0,0,20,3,"Not Well","Associate's degree","No","No","No"
"175",1,0,1,16,1,"Very Well","Regular high school diploma","Yes","No","Yes"
"176",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"177",1,0,1,20,2,"Well","Associate's degree","Yes","No","Yes"
"178",1,0,1,5,1,"Very Well","Grade 2","Yes","No","Yes"
"179",1,0,1,3,1,"Very Well","Kindergarten","Yes","No","Yes"
"180",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"181",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"182",1,0,1,13,1,"Very Well","Grade 10","Yes","No","Yes"
"183",1,0,1,9,1,"Very Well","Grade 6","Yes","No","Yes"
"184",1,0,1,20,1,"Very Well","Associate's degree","Yes","No","Yes"
"185",0,0,1,16,1,"Very Well","Regular high school diploma","No","No","Yes"
"186",1,0,1,19,2,"Well","1 or more years of college credit, no degree","Yes","No","Yes"
"187",0,1,1,6,3,"Not Well","Grade 3","No","Yes","Yes"
"188",0,1,1,14,4,"Not at all","Grade 11","No","Yes","Yes"
"189",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
"190",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"191",1,1,1,22,1,"Very Well","Master's degree","Yes","Yes","Yes"
"192",0,1,1,23,1,"Very Well","Professional degree beyond a bachelor's degree","No","Yes","Yes"
"193",1,0,1,18,2,"Well","Some college, but less than 1 year","Yes","No","Yes"
"194",0,1,1,22,1,"Very Well","Master's degree","No","Yes","Yes"
"195",0,1,1,16,2,"Well","Regular high school diploma","No","Yes","Yes"
"196",0,0,0,23,1,"Very Well","Professional degree beyond a bachelor's degree","No","No","No"
"197",0,0,0,23,1,"Very Well","Professional degree beyond a bachelor's degree","No","No","No"
"198",1,0,1,23,1,"Very Well","Professional degree beyond a bachelor's degree","Yes","No","Yes"
"199",1,0,1,15,2,"Well","12th Grade - no diploma","Yes","No","Yes"
"200",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
"201",1,0,1,4,1,"Very Well","Grade 1","Yes","No","Yes"
"202",0,1,1,19,1,"Very Well","1 or more years of college credit, no degree","No","Yes","Yes"
"203",1,0,1,11,1,"Very Well","Grade 8","Yes","No","Yes"
"204",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"205",1,0,1,15,1,"Very Well","12th Grade - no diploma","Yes","No","Yes"
"206",1,0,1,13,1,"Very Well","Grade 10","Yes","No","Yes"
"207",0,0,0,18,1,"Very Well","Some college, but less than 1 year","No","No","No"
"208",0,0,1,22,2,"Well","Master's degree","No","No","Yes"
"209",0,0,1,13,3,"Not Well","Grade 10","No","No","Yes"
"210",1,0,1,16,2,"Well","Regular high school diploma","Yes","No","Yes"
"211",0,0,1,7,3,"Not Well","Grade 4","No","No","Yes"
"212",0,0,1,7,4,"Not at all","Grade 4","No","No","Yes"
"213",1,0,1,7,4,"Not at all","Grade 4","Yes","No","Yes"
"214",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
"215",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"216",0,1,1,18,1,"Very Well","Some college, but less than 1 year","No","Yes","Yes"
"217",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
"218",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"219",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
"220",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
"221",0,0,1,16,2,"Well","Regular high school diploma","No","No","Yes"
"222",1,0,1,16,3,"Not Well","Regular high school diploma","Yes","No","Yes"
"223",1,0,1,19,3,"Not Well","1 or more years of college credit, no degree","Yes","No","Yes"
"224",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
"225",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
"226",0,0,1,13,2,"Well","Grade 10","No","No","Yes"
"227",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
"228",1,0,1,8,1,"Very Well","Grade 5","Yes","No","Yes"
"229",1,0,1,3,1,"Very Well","Kindergarten","Yes","No","Yes"
"230",0,0,0,22,2,"Well","Master's degree","No","No","No"
"231",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
"232",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"233",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
"234",1,0,1,4,1,"Very Well","Grade 1","Yes","No","Yes"
"235",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"236",1,0,1,20,1,"Very Well","Associate's degree","Yes","No","Yes"
"237",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
"238",0,1,1,21,1,"Very Well","Bachelor's degree","No","Yes","Yes"
"239",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
"240",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"241",1,0,1,4,1,"Very Well","Grade 1","Yes","No","Yes"
"242",1,0,1,3,1,"Very Well","Kindergarten","Yes","No","Yes"
"243",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
"244",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"245",1,1,1,22,1,"Very Well","Master's degree","Yes","Yes","Yes"
"246",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"247",0,0,1,16,2,"Well","Regular high school diploma","No","No","Yes"
"248",0,0,1,22,4,"Not at all","Master's degree","No","No","Yes"
"249",0,0,1,2,1,"Very Well","Nursery School or Pre-school","No","No","Yes"
"250",0,1,1,16,1,"Very Well","Regular high school diploma","No","Yes","Yes"
"251",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"252",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"253",1,0,1,23,1,"Very Well","Professional degree beyond a bachelor's degree","Yes","No","Yes"
"254",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
"255",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"256",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"257",1,0,1,3,2,"Well","Kindergarten","Yes","No","Yes"
"258",0,1,1,16,4,"Not at all","Regular high school diploma","No","Yes","Yes"
"259",0,0,0,9,3,"Not Well","Grade 6","No","No","No"
"260",0,0,1,9,3,"Not Well","Grade 6","No","No","Yes"
"261",0,0,1,19,1,"Very Well","1 or more years of college credit, no degree","No","No","Yes"
"262",0,0,1,11,3,"Not Well","Grade 8","No","No","Yes"
"263",0,0,1,10,3,"Not Well","Grade 7","No","No","Yes"
"264",0,0,1,7,3,"Not Well","Grade 4","No","No","Yes"
"265",0,0,1,16,2,"Well","Regular high school diploma","No","No","Yes"
"266",0,0,1,16,2,"Well","Regular high school diploma","No","No","Yes"
"267",0,0,1,21,1,"Very Well","Bachelor's degree","No","No","Yes"
"268",1,0,1,23,1,"Very Well","Professional degree beyond a bachelor's degree","Yes","No","Yes"
"269",1,1,1,9,1,"Very Well","Grade 6","Yes","Yes","Yes"
"270",0,0,1,16,2,"Well","Regular high school diploma","No","No","Yes"
"271",0,0,1,16,1,"Very Well","Regular high school diploma","No","No","Yes"
"272",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"273",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"274",1,0,1,23,1,"Very Well","Professional degree beyond a bachelor's degree","Yes","No","Yes"
"275",0,0,1,20,1,"Very Well","Associate's degree","No","No","Yes"
"276",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"277",1,0,1,16,1,"Very Well","Regular high school diploma","Yes","No","Yes"
"278",0,0,0,19,1,"Very Well","1 or more years of college credit, no degree","No","No","No"
"279",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"280",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"281",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"282",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"283",0,0,1,11,2,"Well","Grade 8","No","No","Yes"
"284",1,1,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","Yes","Yes"
"285",0,1,1,21,1,"Very Well","Bachelor's degree","No","Yes","Yes"
"286",1,0,1,20,1,"Very Well","Associate's degree","Yes","No","Yes"
"287",0,0,1,17,4,"Not at all","GED or alternative credential","No","No","Yes"
"288",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"289",0,0,1,16,2,"Well","Regular high school diploma","No","No","Yes"
"290",0,0,0,13,3,"Not Well","Grade 10","No","No","No"
"291",0,0,1,6,1,"Very Well","Grade 3","No","No","Yes"
"292",0,0,0,13,2,"Well","Grade 10","No","No","No"
"293",1,0,1,6,1,"Very Well","Grade 3","Yes","No","Yes"
"294",1,0,1,16,1,"Very Well","Regular high school diploma","Yes","No","Yes"
"295",1,0,1,8,1,"Very Well","Grade 5","Yes","No","Yes"
"296",1,1,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","Yes","Yes"
"297",0,0,1,9,3,"Not Well","Grade 6","No","No","Yes"
"298",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"299",1,1,1,16,1,"Very Well","Regular high school diploma","Yes","Yes","Yes"
"300",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
"301",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"302",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"303",0,0,0,21,1,"Very Well","Bachelor's degree","No","No","No"
"304",1,0,1,16,2,"Well","Regular high school diploma","Yes","No","Yes"
"305",0,1,1,19,1,"Very Well","1 or more years of college credit, no degree","No","Yes","Yes"
"306",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
"307",1,0,1,21,2,"Well","Bachelor's degree","Yes","No","Yes"
"308",0,0,1,18,1,"Very Well","Some college, but less than 1 year","No","No","Yes"
"309",0,0,1,21,3,"Not Well","Bachelor's degree","No","No","Yes"
"310",0,1,1,19,2,"Well","1 or more years of college credit, no degree","No","Yes","Yes"
"311",1,1,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","Yes","Yes"
"312",1,1,1,21,1,"Very Well","Bachelor's degree","Yes","Yes","Yes"
"313",0,1,1,21,1,"Very Well","Bachelor's degree","No","Yes","Yes"
"314",0,1,1,18,3,"Not Well","Some college, but less than 1 year","No","Yes","Yes"
"315",0,1,1,16,3,"Not Well","Regular high school diploma","No","Yes","Yes"
"316",1,0,1,23,1,"Very Well","Professional degree beyond a bachelor's degree","Yes","No","Yes"
"317",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"318",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"319",0,0,1,21,2,"Well","Bachelor's degree","No","No","Yes"
"320",0,1,1,16,1,"Very Well","Regular high school diploma","No","Yes","Yes"
"321",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
"322",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"323",0,1,1,22,1,"Very Well","Master's degree","No","Yes","Yes"
"324",0,0,1,21,2,"Well","Bachelor's degree","No","No","Yes"
"325",0,1,1,22,1,"Very Well","Master's degree","No","Yes","Yes"
"326",0,1,1,21,1,"Very Well","Bachelor's degree","No","Yes","Yes"
"327",1,0,1,16,1,"Very Well","Regular high school diploma","Yes","No","Yes"
"328",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
"329",0,0,1,22,1,"Very Well","Master's degree","No","No","Yes"
"330",0,0,0,9,2,"Well","Grade 6","No","No","No"
"331",1,0,1,16,1,"Very Well","Regular high school diploma","Yes","No","Yes"
"332",1,0,1,1,1,"Very Well","No Schooling Completed","Yes","No","Yes"
"333",0,1,1,21,1,"Very Well","Bachelor's degree","No","Yes","Yes"
"334",0,0,1,7,1,"Very Well","Grade 4","No","No","Yes"
"335",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"336",0,0,1,15,2,"Well","12th Grade - no diploma","No","No","Yes"
"337",0,1,1,23,1,"Very Well","Professional degree beyond a bachelor's degree","No","Yes","Yes"
"338",1,0,1,23,1,"Very Well","Professional degree beyond a bachelor's degree","Yes","No","Yes"
"339",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"340",0,0,1,24,1,"Very Well","Doctorate degree","No","No","Yes"
"341",0,1,1,20,3,"Not Well","Associate's degree","No","Yes","Yes"
"342",0,1,1,3,2,"Well","Kindergarten","No","Yes","Yes"
"343",1,0,1,23,1,"Very Well","Professional degree beyond a bachelor's degree","Yes","No","Yes"
"344",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"345",1,0,1,16,1,"Very Well","Regular high school diploma","Yes","No","Yes"
"346",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"347",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"348",0,1,1,20,2,"Well","Associate's degree","No","Yes","Yes"
"349",0,1,1,21,1,"Very Well","Bachelor's degree","No","Yes","Yes"
"350",0,1,1,16,2,"Well","Regular high school diploma","No","Yes","Yes"
"351",0,1,1,19,1,"Very Well","1 or more years of college credit, no degree","No","Yes","Yes"
"352",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"353",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
"354",0,1,1,8,2,"Well","Grade 5","No","Yes","Yes"
"355",1,0,1,16,2,"Well","Regular high school diploma","Yes","No","Yes"
"356",0,0,1,12,1,"Very Well","Grade 9","No","No","Yes"
"357",1,0,1,8,1,"Very Well","Grade 5","Yes","No","Yes"
"358",0,0,1,16,1,"Very Well","Regular high school diploma","No","No","Yes"
"359",1,0,1,20,1,"Very Well","Associate's degree","Yes","No","Yes"
"360",0,0,0,11,1,"Very Well","Grade 8","No","No","No"
"361",0,0,0,8,1,"Very Well","Grade 5","No","No","No"
"362",0,1,1,24,1,"Very Well","Doctorate degree","No","Yes","Yes"
"363",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"364",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"365",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"366",1,0,1,23,2,"Well","Professional degree beyond a bachelor's degree","Yes","No","Yes"
"367",0,1,1,21,1,"Very Well","Bachelor's degree","No","Yes","Yes"
